UniProtKB_ac	n_resid	mean_pLDDT	has_catalytic_activity	has_EC	has_activity	autosite_score	autosite_score_50	autosite_score_70	autosite_score_90	autosite_score_95
A0A024RCN7	75	54.19	False	False	False	50.75	50.75	0.00	0.00	0.00
A0A075B6S0	16	77.13	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A075B6V2	18	76.36	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A075B6Y3	20	86.39	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A075B6Y9	20	85.41	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A075B700	18	86.66	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A075B706	16	86.88	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A087WTH1	108	69.30	False	False	False	26.16	26.16	26.16	0.00	0.00
A0A087WUM9	103	59.06	False	False	False	34.90	34.90	25.08	0.00	0.00
A0A087WWA1	95	60.34	False	False	False	23.06	23.06	0.00	0.00	0.00
A0A096LNT9	112	60.76	False	False	False	41.26	41.26	0.00	0.00	0.00
A0A096LP01	95	71.67	False	False	False	31.15	31.15	31.15	0.00	0.00
A0A096LPG2	23	75.12	False	False	False	25.16	25.16	25.16	0.00	0.00
A0A096LPH7	203	80.80	False	False	False	39.28	39.28	39.28	39.28	36.05
A0A096LPI5	108	56.62	False	False	False	22.86	22.86	0.00	0.00	0.00
A0A0A0MT70	17	90.93	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A0A0MT82	47	58.31	False	False	False	27.98	27.98	0.00	0.00	0.00
A0A0A0MT86	24	71.39	False	False	False	23.10	23.10	23.10	0.00	0.00
A0A0A0MT87	16	84.14	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A0A0MT93	23	67.79	False	False	False	30.76	30.76	0.00	0.00	0.00
A0A0A0MT94	16	83.79	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A0A0MT99	50	46.85	False	False	False	44.09	28.63	0.00	0.00	0.00
A0A0A0MTA7	16	86.29	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A0B4J200	16	89.18	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A0C4DGP1	68	67.18	False	False	False	39.47	39.47	0.00	0.00	0.00
A0A0C4DH62	17	88.17	False	False	False	18.88	18.88	18.88	0.00	0.00
A0A0C4DH63	20	79.71	False	False	False	27.47	27.47	27.47	0.00	0.00
A0A0C5B5G6	16	72.29	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A0G2JKD1	596	76.83	False	False	False	28.06	28.06	27.47	22.25	0.00
A0A0G2JKW9	36	67.20	False	False	False	23.55	23.55	23.55	0.00	0.00
A0A0G2JLE6	195	34.03	False	False	False	36.32	0.00	0.00	0.00	0.00
A0A0G2JLG4	411	87.06	False	False	False	80.45	80.45	80.45	41.90	28.73
A0A0G2JLM5	398	78.37	False	False	False	46.18	46.18	46.18	46.18	28.28
A0A0G2JLW4	131	50.31	False	False	False	35.53	35.53	0.00	0.00	0.00
A0A0G2JMD5	474	76.81	False	False	False	59.24	59.24	55.13	25.33	25.33
A0A0G2JMH6	254	89.45	False	False	False	52.95	52.95	52.95	52.95	31.88
A0A0G2JMP0	313	85.94	False	False	False	49.79	49.79	49.79	33.96	21.70
A0A0G2JN68	375	72.46	False	False	False	44.64	44.64	44.64	44.64	21.62
A0A0G2JND7	137	45.33	False	False	False	48.48	26.90	0.00	0.00	0.00
A0A0G2JNG1	304	79.69	False	False	False	47.16	47.16	47.16	47.16	26.14
A0A0G2JNJ9	132	39.15	False	False	False	46.23	0.00	0.00	0.00	0.00
A0A0G2JP20	478	84.20	False	False	False	44.00	44.00	44.00	40.59	24.16
A0A0G2JPB7	455	88.04	False	False	False	38.96	38.96	38.96	38.96	28.61
A0A0G2JPN4	36	64.17	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A0G2JQ47	297	81.47	False	False	False	40.98	40.98	40.98	40.98	40.98
A0A0G2JQF1	25	86.87	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A0G2JQZ4	141	50.48	False	False	False	28.37	28.37	0.00	0.00	0.00
A0A0J9YWL9	993	50.12	False	False	False	84.80	34.96	34.96	24.60	0.00
A0A0J9YWP8	16	77.13	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A0J9YWX3	17	86.67	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A0J9YX94	578	59.84	False	False	False	55.12	55.12	55.12	0.00	0.00
A0A0J9YXG5	16	89.80	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A0J9YXM7	16	81.72	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A0J9YXV3	536	41.53	False	False	False	24.29	19.65	0.00	0.00	0.00
A0A0J9YY54	714	49.09	False	False	False	38.49	38.49	36.84	0.00	0.00
A0A0U1RQF7	123	47.97	False	False	False	83.06	0.00	0.00	0.00	0.00
A0A0U1RQG5	324	51.80	False	False	False	25.81	25.81	0.00	0.00	0.00
A0A0U1RQS6	177	57.79	False	False	False	34.59	34.59	30.54	0.00	0.00
A0A0U1RR37	186	63.32	False	False	False	25.79	25.79	24.89	0.00	0.00
A0A0U1RRA0	63	72.60	False	False	False	25.91	25.91	0.00	0.00	0.00
A0A0U1RRE5	68	69.28	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A0U1RRK4	108	64.28	False	False	False	25.18	25.18	25.18	0.00	0.00
A0A0U1RRL7	71	69.74	False	False	False	32.59	32.59	25.13	0.00	0.00
A0A0U1RRN3	59	68.28	False	False	False	23.98	23.98	0.00	0.00	0.00
A0A140G945	173	74.63	False	False	False	49.57	49.57	49.57	26.07	26.07
A0A140T8X8	626	73.55	False	False	False	33.79	33.79	26.91	0.00	0.00
A0A140TA64	210	34.53	False	False	False	33.47	0.00	0.00	0.00	0.00
A0A140TA67	174	38.62	False	False	False	42.92	0.00	0.00	0.00	0.00
A0A183	80	62.29	False	False	False	26.39	26.39	23.19	0.00	0.00
A0A1B0GTC6	90	70.67	False	False	False	29.21	29.21	0.00	0.00	0.00
A0A1B0GTD5	131	77.34	False	False	False	50.68	50.68	50.68	0.00	0.00
A0A1B0GTH6	734	45.02	False	False	False	86.20	86.20	28.94	0.00	0.00
A0A1B0GTH9	108	87.10	False	False	False	32.15	32.15	32.15	32.15	0.00
A0A1B0GTI8	187	82.81	False	False	False	63.17	63.17	63.17	63.17	0.00
A0A1B0GTJ6	334	53.60	False	False	False	39.00	39.00	0.00	0.00	0.00
A0A1B0GTK4	181	64.61	False	False	False	56.94	56.94	38.69	28.84	0.00
A0A1B0GTK5	79	63.19	False	False	False	23.47	23.47	0.00	0.00	0.00
A0A1B0GTL2	189	71.76	False	False	False	61.13	61.13	61.13	0.00	0.00
A0A1B0GTR0	161	54.27	False	False	False	61.91	61.91	0.00	0.00	0.00
A0A1B0GTR3	108	69.09	False	False	False	20.28	20.28	19.85	0.00	0.00
A0A1B0GTR4	108	53.79	False	False	False	20.51	0.00	0.00	0.00	0.00
A0A1B0GTU1	805	55.21	False	False	False	53.49	53.49	53.49	21.78	0.00
A0A1B0GTY4	177	65.03	False	False	False	36.65	36.65	29.49	23.64	0.00
A0A1B0GU29	152	63.51	False	False	False	25.62	25.62	21.10	0.00	0.00
A0A1B0GU33	70	60.41	False	False	False	21.43	21.43	0.00	0.00	0.00
A0A1B0GUA5	103	59.76	False	False	False	26.80	26.80	19.75	0.00	0.00
A0A1B0GUA9	212	59.49	False	False	False	23.80	23.80	19.48	0.00	0.00
A0A1B0GUI7	84	65.51	False	False	False	73.29	73.29	19.20	0.00	0.00
A0A1B0GUJ8	204	78.22	False	False	False	29.68	29.68	29.68	29.68	25.32
A0A1B0GUQ0	79	62.15	False	False	False	28.70	28.70	28.70	0.00	0.00
A0A1B0GUT2	108	58.81	False	False	False	28.25	28.25	22.91	0.00	0.00
A0A1B0GUU1	675	81.84	False	False	False	110.33	110.33	110.33	60.93	29.17
A0A1B0GUV1	79	59.84	False	False	False	27.53	27.53	0.00	0.00	0.00
A0A1B0GUV7	120	52.33	False	False	False	25.14	25.14	19.37	0.00	0.00
A0A1B0GUY1	285	41.12	False	False	False	24.03	0.00	0.00	0.00	0.00
A0A1B0GV22	79	61.99	False	False	False	21.16	21.16	0.00	0.00	0.00
A0A1B0GV96	52	60.88	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A1B0GVB3	256	65.36	False	False	False	34.00	34.00	34.00	0.00	0.00
A0A1B0GVD1	139	74.86	False	False	False	70.98	70.98	46.86	19.92	0.00
A0A1B0GVG6	124	62.19	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A1B0GVH4	220	59.77	False	False	False	64.68	64.68	27.36	0.00	0.00
A0A1B0GVH6	325	52.11	False	False	False	41.61	41.61	0.00	0.00	0.00
A0A1B0GVH7	501	61.07	False	False	False	54.04	51.22	51.22	34.10	0.00
A0A1B0GVM5	59	64.16	False	False	False	33.62	33.62	0.00	0.00	0.00
A0A1B0GVM6	126	61.75	False	False	False	31.71	31.71	0.00	0.00	0.00
A0A1B0GVS7	189	54.06	False	False	False	48.57	48.57	0.00	0.00	0.00
A0A1B0GVX0	72	65.89	False	False	False	37.47	37.47	0.00	0.00	0.00
A0A1B0GVY2	172	37.08	False	False	False	38.32	24.80	0.00	0.00	0.00
A0A1B0GVZ9	245	80.23	False	False	False	45.15	45.15	45.15	28.96	0.00
A0A1B0GW64	132	61.84	False	False	False	29.67	29.67	0.00	0.00	0.00
A0A1B0GWB2	263	57.13	False	False	False	43.85	43.85	43.85	0.00	0.00
A0A1B0GWH6	25	97.60	False	False	False	21.52	21.52	21.52	21.52	21.52
A0A1W2PNU3	283	49.90	False	False	False	30.86	30.86	0.00	0.00	0.00
A0A1W2PP97	115	72.66	False	False	False	42.70	42.70	27.19	22.20	0.00
A0A1W2PPE3	182	47.98	False	False	False	46.34	46.34	0.00	0.00	0.00
A0A1W2PR82	267	63.32	False	False	False	38.31	38.31	31.55	0.00	0.00
A0A1W2PRE2	83	60.90	False	False	False	28.32	28.32	0.00	0.00	0.00
A0A1W2PS18	150	62.66	False	False	False	43.34	43.34	28.25	0.00	0.00
A0A286YEV6	105	41.64	False	False	False	42.19	0.00	0.00	0.00	0.00
A0A286YEX9	47	39.58	False	False	False	37.76	0.00	0.00	0.00	0.00
A0A286YEY9	88	40.51	False	False	False	45.30	0.00	0.00	0.00	0.00
A0A286YF01	96	41.45	False	False	False	48.99	0.00	0.00	0.00	0.00
A0A286YF18	149	65.10	False	False	False	22.93	22.93	18.88	0.00	0.00
A0A286YF46	85	43.57	False	False	False	37.45	0.00	0.00	0.00	0.00
A0A286YF60	100	41.01	False	False	False	52.11	0.00	0.00	0.00	0.00
A0A286YF77	105	40.65	False	False	False	45.50	0.00	0.00	0.00	0.00
A0A286YFB4	120	39.63	False	False	False	57.29	0.00	0.00	0.00	0.00
A0A286YFG1	108	38.02	False	False	False	56.46	0.00	0.00	0.00	0.00
A0A286YFK9	51	77.07	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A2R8Y2Y2	192	56.70	False	False	False	42.52	42.52	41.52	0.00	0.00
A0A2R8Y556	26	78.34	False	False	False	22.16	22.16	22.16	0.00	0.00
A0A2R8Y747	149	50.21	False	False	False	58.59	23.70	0.00	0.00	0.00
A0A2R8YCJ5	93	74.48	False	False	False	20.83	20.83	20.83	20.83	0.00
A0A2R8YD15	34	83.61	False	False	False	21.03	21.03	21.03	0.00	0.00
A0A2U3TZM8	278	52.24	False	False	False	41.09	35.72	0.00	0.00	0.00
A0A376A8Z9	235	86.65	False	False	False	43.67	43.67	43.67	43.67	27.02
A0A3B3IRQ3	129	45.77	False	False	False	56.65	25.03	0.00	0.00	0.00
A0A3B3IRS2	109	51.51	False	False	False	92.73	92.73	0.00	0.00	0.00
A0A3B3IT34	95	53.75	False	False	False	22.02	21.34	0.00	0.00	0.00
A0A494BZU2	33	75.45	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A494BZU4	170	74.96	False	False	False	36.02	36.02	26.90	0.00	0.00
A0A494BZZ5	66	54.00	False	False	False	34.80	34.80	0.00	0.00	0.00
A0A494C030	265	34.01	False	False	False	171.94	0.00	0.00	0.00	0.00
A0A494C0B9	38	60.03	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A494C162	114	64.20	False	False	False	27.32	27.32	0.00	0.00	0.00
A0A494C176	62	72.40	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A494C193	113	66.66	False	False	False	26.20	26.20	25.19	0.00	0.00
A0A494C1I1	119	63.01	False	False	False	23.77	23.77	0.00	0.00	0.00
A0A590UJ96	1178	35.63	False	False	False	51.43	29.75	0.00	0.00	0.00
A0A590UK24	94	67.24	False	False	False	20.11	20.11	0.00	0.00	0.00
A0A590UK83	107	53.52	False	False	False	50.68	50.68	0.00	0.00	0.00
A0A5F9ZGZ6	478	45.25	False	False	False	36.60	0.00	0.00	0.00	0.00
A0A5F9ZH02	70	70.75	False	False	False	27.78	27.78	27.78	0.00	0.00
A0A5F9ZHI8	444	54.13	False	False	False	48.84	48.84	48.84	0.00	0.00
A0A5F9ZHU2	147	42.61	False	False	False	37.87	0.00	0.00	0.00	0.00
A0A5S8K742	417	82.11	False	False	False	39.87	39.87	39.87	39.87	39.87
A0A669KB60	32	75.39	False	False	False	26.02	26.02	26.02	0.00	0.00
A0A6I8PU40	153	43.09	False	False	False	68.26	68.26	0.00	0.00	0.00
A0A6Q8PFC9	52	58.46	False	False	False	0.00	0.00	0.00	0.00	0.00
A0A6Q8PFD8	39	48.94	False	False	False	46.91	46.91	0.00	0.00	0.00
A0A6Q8PFQ6	16	81.47	False	False	False	20.43	20.43	20.43	0.00	0.00
A0A6Q8PGL7	129	37.77	False	False	False	90.87	0.00	0.00	0.00	0.00
A0A6Q8PGS0	86	62.50	False	False	False	25.89	25.89	0.00	0.00	0.00
A0A6Q8PGZ6	110	58.26	False	False	False	28.63	28.63	22.92	0.00	0.00
A0A6Q8PGZ7	32	87.25	False	False	False	22.91	22.91	22.91	22.91	0.00
A0A6Q8PHA8	20	80.58	False	False	False	27.70	27.70	27.70	0.00	0.00
A0A6Q8PHR7	45	58.96	False	False	False	23.16	23.16	0.00	0.00	0.00
A0A6Q8PHS2	68	58.50	False	False	False	24.11	24.11	0.00	0.00	0.00
A0A7E1QX52	130	50.06	False	False	False	46.45	46.45	0.00	0.00	0.00
A0A7I2V3D3	363	90.28	False	False	False	89.25	89.25	89.25	89.25	31.48
A0A7I2V3R4	345	62.82	False	False	False	45.61	45.61	34.29	0.00	0.00
A0A7I2V4U8	25	77.58	False	False	False	27.79	27.79	27.79	0.00	0.00
A0A7I2V5U8	205	60.70	False	False	False	27.07	27.07	21.11	0.00	0.00
A0A7I2V6D3	23	82.98	False	False	False	0.00	0.00	0.00	0.00	0.00
A0AVI4	362	87.95	CATALYTIC ACTIVITY: Reaction=S-ubiquitinyl-[E2 ubiquitin-conjugating enzyme]-L-cysteine +   [acceptor protein]-L-lysine = [E2 ubiquitin-conjugating enzyme]-L-   cysteine + N(6)-ubiquitinyl-[acceptor protein]-L-lysine.;   EC=2.3.2.27;	RecName: Full=E3 ubiquitin-protein ligase TM129; EC=2.3.2.27; AltName: Full=RING-type E3 ubiquitin transferase TM129 {ECO:0000305};	True	41.60	41.60	41.60	41.60	0.00
A0N4X2	20	82.22	False	False	False	0.00	0.00	0.00	0.00	0.00
A0N4X5	19	86.77	False	False	False	0.00	0.00	0.00	0.00	0.00
A0N4Z3	17	88.73	False	False	False	0.00	0.00	0.00	0.00	0.00
A0N4Z7	21	83.24	False	False	False	0.00	0.00	0.00	0.00	0.00
A0N4Z8	20	84.18	False	False	False	0.00	0.00	0.00	0.00	0.00
A0PG75	271	72.84	False	False	False	88.14	88.14	51.02	24.89	22.17
A0PJW6	202	75.69	False	False	False	42.37	42.37	32.05	0.00	0.00
A0PJW8	107	67.74	False	False	False	30.95	30.95	21.68	0.00	0.00
A0PJX8	343	78.22	False	False	False	44.67	44.67	44.67	36.44	36.44
A0PK05	275	58.02	False	False	False	33.34	33.34	33.34	0.00	0.00
A0PK11	232	91.54	False	False	False	36.47	36.47	36.47	31.23	31.23
A1A4G5	178	63.76	False	False	False	41.54	41.54	28.53	0.00	0.00
A1A519	330	56.15	False	False	False	55.25	55.25	30.36	0.00	0.00
A1A580	65	55.63	False	False	False	22.39	22.39	0.00	0.00	0.00
A1E959	279	44.27	False	False	False	22.32	22.32	0.00	0.00	0.00
A1KXE4	195	50.51	False	False	False	41.11	31.03	0.00	0.00	0.00
A1L170	272	56.44	False	False	False	25.09	25.09	22.42	0.00	0.00
A1L1A6	192	77.97	False	False	False	27.46	27.46	27.46	27.46	23.01
A1L429	117	63.19	False	False	False	21.83	21.83	0.00	0.00	0.00
A1L443	756	50.84	False	False	False	45.77	45.77	45.77	28.98	0.00
A1L4L8	177	72.23	False	False	False	43.19	43.19	35.95	35.95	30.79
A1L4Q6	167	34.03	False	False	False	66.71	0.00	0.00	0.00	0.00
A2AJT9	711	48.20	False	False	False	39.45	39.45	22.12	0.00	0.00
A2RRH5	827	81.72	False	False	False	104.62	104.62	104.62	104.62	53.10
A2RRP1	2371	74.75	False	False	False	82.23	82.23	82.23	0.00	0.00
A2RU30	521	54.12	False	False	False	38.50	38.50	33.13	0.00	0.00
A2RU37	121	43.79	False	False	False	49.91	0.00	0.00	0.00	0.00
A2RU67	622	78.31	False	False	False	101.02	101.02	101.02	27.29	0.00
A2RUG3	117	65.42	False	False	False	34.30	34.30	34.30	0.00	0.00
A2RUQ5	167	34.98	False	False	False	45.91	0.00	0.00	0.00	0.00
A2VDJ0	1609	53.04	False	False	False	59.94	59.94	56.67	21.07	0.00
A3KMH1	1905	78.74	False	False	False	109.64	109.64	109.64	32.09	0.00
A3KN74	72	83.29	False	False	False	26.86	26.86	26.86	23.71	0.00
A3KN83	1393	67.53	False	False	False	121.36	121.36	119.32	36.82	0.00
A3QJZ7	478	83.86	False	False	False	40.99	40.99	40.99	39.01	22.85
A4D0T2	115	72.15	False	False	False	24.65	24.65	24.65	0.00	0.00
A4D0V7	1026	72.78	False	False	False	134.59	134.59	134.59	38.94	26.54
A4D0Y5	90	34.62	False	False	False	59.53	0.00	0.00	0.00	0.00
A4D161	298	84.93	False	False	False	50.97	50.97	50.97	50.97	0.00
A4D1B5	854	80.50	False	False	False	75.49	75.49	75.49	36.47	0.00
A4D1N5	150	40.37	False	False	False	55.75	0.00	0.00	0.00	0.00
A4D1U4	455	77.55	False	False	False	74.82	74.82	65.28	39.32	37.29
A4D250	179	29.14	False	False	False	107.88	0.00	0.00	0.00	0.00
A4D263	438	55.57	False	False	False	66.29	53.03	35.87	0.00	0.00
A4FU49	640	52.77	False	False	False	46.96	46.96	46.96	25.46	0.00
A4FU69	1503	67.38	False	False	False	97.29	97.29	97.29	47.44	0.00
